A̱o,Tasa_Adopcion_%,Generacion_Total_GWh,Ahorro_Total_MDP,CO2_Ton
2026,2.0,283.7,1067.0,120006.0
2027,4.36,614.98,2428.55,260135.0
2028,6.71,942.93,3909.82,398860.0
2029,9.07,1267.59,5518.81,536191.0
2030,11.43,1588.98,7263.97,672138.0
2031,13.79,1907.12,9154.27,806713.0
2032,16.14,2222.05,11199.2,939925.0
2033,18.5,2533.77,13408.83,1071785.0
2034,20.86,2842.32,15793.79,1202303.0
2035,23.21,3147.73,18365.35,1331489.0
2036,25.57,3450.01,21135.44,1459353.0
2037,27.93,3749.18,24116.67,1585905.0
2038,30.29,4045.28,27322.4,1711155.0
2039,32.64,4338.33,30766.74,1835112.0
2040,35.0,4628.34,34464.64,1957788.0
