A̱o,Tasa_Adopcion_%,Generacion_Total_GWh,Ahorro_Total_MDP,CO2_Total_Ton
2026,2.0,283.7030993068855,1066.9950798547343,120006.41100681259
2027,4.36,614.9771290154079,2428.547488941866,260135.32557351748
2028,6.71,942.9313258493619,3909.8221143076935,398859.9508342802
2029,9.07,1267.5906062867516,5518.807500512939,536190.8264592958
2030,11.43,1588.9797206366204,7263.9674156357705,672138.4218292905
2031,13.79,1907.1232540778342,9154.267386216854,806713.1364749239
2032,16.14,2222.0456276916193,11199.202655417164,939925.300513555
2033,18.5,2533.7710994879144,13408.827638628296,1071785.1750833879
2034,20.86,2842.3237654255554,15793.786954569181,1202302.95277501
2035,23.21,3147.7275604263314,18365.3481138887,1331488.7580603384
2036,25.57,3450.0062593829657,21135.4359514791,1459352.6477189942
2037,27.93,3749.1834781610214,24116.668893101527,1585904.6112621122
2038,30.29,4045.2826745948123,27322.397151541576,1711154.5713536057
2039,32.64,4338.327149477312,30766.742952361772,1835112.384228903
2040,35.0,4628.340047544122,34464.64289440959,1957787.8401111632
